Date;Price(EUR/Ons)
30.12.2014;659.9500
31.12.2014;666.2767
2.01.2015;662.2800
5.01.2015;672.1667
6.01.2015;681.2400
7.01.2015;688.3300
8.01.2015;691.4633
9.01.2015;692.2400
12.01.2015;697.0633
13.01.2015;703.7033
14.01.2015;703.2533
15.01.2015;707.5233
16.01.2015;727.8333
19.01.2015;734.6900
20.01.2015;738.5300
21.01.2015;747.3767
22.01.2015;742.2400
23.01.2015;767.5367
26.01.2015;759.4200
27.01.2015;754.8233
28.01.2015;753.2600
29.01.2015;748.4300
30.01.2015;737.8933
2.02.2015;738.2800
3.02.2015;742.8800
4.02.2015;733.5100
5.02.2015;736.6033
6.02.2015;736.4367
9.02.2015;729.6633
10.02.2015;729.1900
11.02.2015;723.7000
12.02.2015;692.3633
13.02.2015;712.7400
16.02.2015;717.9300
17.02.2015;712.8233
18.02.2015;701.7400
19.02.2015;704.3967
20.02.2015;701.4800
23.02.2015;700.2333
24.02.2015;698.7867
25.02.2015;699.8033
26.02.2015;708.8900
27.02.2015;712.2100
2.03.2015;718.3867
3.03.2015;718.8800
4.03.2015;719.4667
5.03.2015;723.8633
6.03.2015;720.7200
9.03.2015;717.5633
10.03.2015;717.0200
11.03.2015;720.3933
12.03.2015;719.8700
13.03.2015;719.7433
16.03.2015;722.4000
17.03.2015;713.5867
18.03.2015;708.2233
19.03.2015;717.0267
20.03.2015;722.6700
23.03.2015;719.4733
24.03.2015;712.7200
25.03.2015;715.2233
26.03.2015;720.0967
27.03.2015;723.9133
30.03.2015;715.1967
31.03.2015;721.3133
1.04.2015;725.2100
2.04.2015;730.4067
3.04.2015;726.1767
6.04.2015;719.7000
7.04.2015;733.4733
8.04.2015;735.5133
9.04.2015;735.3100
10.04.2015;751.0600
13.04.2015;748.4333
14.04.2015;743.9533
15.04.2015;740.7800
16.04.2015;745.4933
17.04.2015;735.2300
20.04.2015;735.8567
21.04.2015;737.3500
22.04.2015;727.6000
24.04.2015;716.7100
27.04.2015;715.6467
28.04.2015;722.4767
29.04.2015;721.0033
30.04.2015;701.4100
4.05.2015;697.0300
5.05.2015;707.7600
6.05.2015;698.0767
7.05.2015;685.2800
8.05.2015;695.4667
11.05.2015;698.0200
12.05.2015;692.8433
13.05.2015;699.0033
14.05.2015;697.3867
15.05.2015;701.6367
18.05.2015;705.4633
20.05.2015;713.9800
21.05.2015;711.5067
22.05.2015;708.8333
25.05.2015;721.0967
26.05.2015;714.4367
27.05.2015;711.9500
28.05.2015;708.8333
29.05.2015;705.8800
1.06.2015;707.6967
2.06.2015;701.5767
3.06.2015;693.5900
4.06.2015;679.3133
5.06.2015;676.1200
8.06.2015;684.2233
9.06.2015;681.8667
10.06.2015;683.1033
11.06.2015;681.9533
12.06.2015;682.7600
15.06.2015;671.1800
16.06.2015;675.1733
17.06.2015;671.2200
18.06.2015;675.0267
19.06.2015;676.8233
22.06.2015;669.6300
23.06.2015;672.5533
24.06.2015;672.2033
25.06.2015;674.4100
26.06.2015;673.7433
29.06.2015;681.7167
30.06.2015;677.9500
1.07.2015;681.4900
2.07.2015;680.8133
3.07.2015;680.7400
6.07.2015;674.3733
7.07.2015;677.6700
8.07.2015;660.1833
9.07.2015;667.4133
10.07.2015;661.0867
13.07.2015;661.7167
14.07.2015;664.6033
15.07.2015;664.4233
20.07.2015;653.2200
21.07.2015;646.1300
22.07.2015;637.4933
23.07.2015;631.3433
24.07.2015;635.8067
27.07.2015;629.8667
28.07.2015;630.6600
29.07.2015;632.0200
30.07.2015;633.7667
31.07.2015;635.2400
3.08.2015;634.0367
4.08.2015;631.9033
5.08.2015;630.5033
6.08.2015;627.7800
7.08.2015;626.9167
10.08.2015;626.9500
11.08.2015;634.1467
12.08.2015;635.7900
13.08.2015;636.3200
14.08.2015;634.0933
17.08.2015;639.0933
18.08.2015;639.1633
19.08.2015;642.4533
20.08.2015;641.6667
21.08.2015;646.2233
24.08.2015;637.3033
25.08.2015;624.7800
26.08.2015;619.5233
27.08.2015;624.8967
28.08.2015;629.2667
31.08.2015;637.9133
1.09.2015;637.9400
2.09.2015;637.6067
3.09.2015;638.5400
4.09.2015;642.3367
7.09.2015;637.8067
8.09.2015;633.5033
9.09.2015;634.8267
10.09.2015;630.9300
11.09.2015;622.4167
14.09.2015;616.3567
15.09.2015;611.4833
16.09.2015;616.5933
17.09.2015;616.9833
18.09.2015;616.3833
21.09.2015;630.1533
22.09.2015;632.4367
28.09.2015;625.1333
29.09.2015;611.7933
30.09.2015;606.1800
1.10.2015;611.3400
2.10.2015;606.3333
5.10.2015;608.8600
6.10.2015;615.7833
7.10.2015;618.9367
8.10.2015;620.5067
9.10.2015;617.7367
12.10.2015;631.6933
13.10.2015;632.4900
14.10.2015;634.7100
15.10.2015;637.9300
16.10.2015;641.9300
19.10.2015;643.5367
20.10.2015;646.1467
21.10.2015;645.9333
22.10.2015;645.5300
23.10.2015;656.5600
26.10.2015;660.6767
27.10.2015;654.7367
30.10.2015;653.8433
2.11.2015;647.8533
3.11.2015;643.1067
4.11.2015;640.0600
5.11.2015;640.6833
6.11.2015;636.4867
9.11.2015;636.1800
10.11.2015;631.5933
11.11.2015;624.1400
12.11.2015;620.7400
13.11.2015;612.7033
16.11.2015;614.9833
17.11.2015;612.4867
18.11.2015;604.8767
19.11.2015;603.1967
20.11.2015;609.0767
23.11.2015;609.5600
24.11.2015;605.3667
25.11.2015;604.5500
26.11.2015;603.7100
27.11.2015;606.8600
30.11.2015;600.9467
1.12.2015;601.8867
2.12.2015;604.4900
3.12.2015;599.3400
4.12.2015;585.4400
7.12.2015;601.5700
8.12.2015;602.2067
9.12.2015;594.9067
10.12.2015;589.1000
11.12.2015;589.8533
14.12.2015;586.0267
15.12.2015;584.2600
16.12.2015;588.4933
17.12.2015;598.6700
18.12.2015;591.9333
21.12.2015;592.9967
22.12.2015;598.1667
23.12.2015;597.8133
24.12.2015;595.4533
25.12.2015;596.4100
28.12.2015;595.2167
29.12.2015;598.6100
30.12.2015;601.0367
31.12.2015;596.9733
4.01.2016;602.0867
5.01.2016;611.6467
6.01.2016;617.6000
7.01.2016;609.0900
8.01.2016;606.4867
11.01.2016;604.0967
12.01.2016;604.7767
13.01.2016;596.4200
14.01.2016;594.9467
15.01.2016;591.4033
18.01.2016;593.4067
19.01.2016;592.5067
20.01.2016;591.4700
21.01.2016;589.3467
22.01.2016;598.0933
25.01.2016;609.5167
26.01.2016;609.1867
27.01.2016;615.3500
28.01.2016;613.6167
29.01.2016;608.6800
1.02.2016;615.4200
2.02.2016;610.5600
3.02.2016;612.3067
4.02.2016;614.8200
5.02.2016;616.0433
8.02.2016;625.9800
9.02.2016;636.1067
10.02.2016;629.7033
11.02.2016;643.5967
12.02.2016;653.7100
15.02.2016;643.7567
16.02.2016;646.1133
17.02.2016;645.2433
18.02.2016;645.8033
19.02.2016;655.5567
22.02.2016;644.8400
23.02.2016;652.0233
24.02.2016;660.1333
